r2_score: 0.745383
mae: 24.846909
r2_score: 0.010845
mae: 41.909775
r2_score: 0.846676
mae: 21.835466
r2_score: 0.664889
mae: 30.604141
r2_score: 0.715242
mae: 23.309160
r2_score: 0.495117
mae: 32.986790
r2_score: 0.705512
mae: 25.438311
r2_score: 0.792243
mae: 25.619238
r2_score: 0.740807
mae: 26.102104
r2_score: 0.782337
mae: 24.100197
r2_score: 0.918950
mae: 16.000376
r2_score: 0.935738
mae: 15.016530
r2_score: 0.811286
mae: 19.695539
r2_score: 0.929488
mae: 14.675572
r2_score: 0.948741
mae: 12.084552
r2_score: 0.934734
mae: 14.786124
r2_score: 0.879363
mae: 17.281263
r2_score: 0.834078
mae: 17.991661
r2_score: 0.951813
mae: 13.164716
r2_score: 0.889336
mae: 16.990164
r2_score: 0.137953
mae: 1.708675
r2_score: 0.760768
mae: 2.015867
r2_score: 0.375680
mae: 1.552656
r2_score: 0.870296
mae: 1.522713
r2_score: 0.550939
mae: 3.272011
r2_score: 0.138194
mae: 2.227160
r2_score: 0.404482
mae: 2.708625
r2_score: -0.395522
mae: 2.501475
r2_score: 0.814872
mae: 1.550066
r2_score: 0.500902
mae: 3.284066
r2_score: 0.321812
mae: 1.846502
r2_score: 0.516272
mae: 2.556413
r2_score: -0.071437
mae: 2.075101
r2_score: 0.701731
mae: 1.751661
r2_score: 0.399795
mae: 3.849519
r2_score: 0.265075
mae: 1.761543
r2_score: 0.601044
mae: 2.167261
r2_score: 0.283093
mae: 1.819513
r2_score: 0.682023
mae: 1.634298
r2_score: 0.260915
mae: 3.777138
r2_score: 0.086538
mae: 2.311898
r2_score: 0.475213
mae: 2.433071
r2_score: -0.066397
mae: 2.132848
r2_score: 0.558984
mae: 2.614577
r2_score: 0.285850
mae: 3.913671
r2_score: 0.441574
mae: 3.499830
r2_score: 0.509647
mae: 3.116507
r2_score: 0.435952
mae: 3.142447
r2_score: 0.431500
mae: 2.856425
r2_score: 0.294647
mae: 3.221132
r2_score: 0.485389
mae: 3.181098
r2_score: 0.054684
mae: 2.114493
r2_score: 0.147401
mae: 3.386264
r2_score: 0.159632
mae: 1.927260
r2_score: 0.853208
mae: 1.547166
r2_score: 0.516701
mae: 3.256817
r2_score: 0.106891
mae: 1.860001
r2_score: 0.689598
mae: 2.318297
r2_score: 0.282572
mae: 1.709116
r2_score: 0.877596
mae: 1.622766
r2_score: 0.276740
mae: 4.045669
r2_score: 0.493445
mae: 2.337099
r2_score: 0.558689
mae: 3.242620
r2_score: -0.591290
mae: 2.527397
r2_score: 0.704811
mae: 2.000457
r2_score: 0.807665
mae: 1.573892
r2_score: 0.154509
mae: 2.908834
r2_score: 0.372809
mae: 3.781515
r2_score: -0.933240
mae: 2.435626
r2_score: 0.787089
mae: 1.835969
r2_score: 0.860631
mae: 1.571774
r2_score: 0.315355
mae: 2.790677
r2_score: 0.434101
mae: 3.582477
r2_score: -0.842188
mae: 2.268449
r2_score: 0.641361
mae: 1.992821
r2_score: 0.861221
mae: 1.399861
r2_score: 0.399772
mae: 2.562989
r2_score: 0.523101
mae: 3.810468
r2_score: -0.540134
mae: 2.416986
r2_score: 0.514283
mae: 1.991220
r2_score: 0.844290
